ticker,fiscal_year,query_used,url,status,text_path,char_count,error,fetched_at_utc
JOHNSON&JOHNSON (JNJ),2021,JOHNSON&JOHNSON (JNJ) FY21 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2022/01/25/johnson-johnson-jnj-q4-2021-earnings-call-transcri/,ok,data\raw\earnings\motley_fool_transcripts\JOHNSON&JOHNSON (JNJ)\FY2021.txt,77485,,2026-04-13T00:54:51.353199+00:00
JOHNSON&JOHNSON (JNJ),2022,JOHNSON&JOHNSON (JNJ) FY22 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2023/01/24/johnson-johnson-jnj-q4-2022-earnings-call-transcri/,ok,data\raw\earnings\motley_fool_transcripts\JOHNSON&JOHNSON (JNJ)\FY2022.txt,60378,,2026-04-13T00:55:29.938126+00:00
JOHNSON&JOHNSON (JNJ),2023,JOHNSON&JOHNSON (JNJ) FY23 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2024/01/23/johnson-johnson-jnj-q4-2023-earnings-call-transcri/,ok,data\raw\earnings\motley_fool_transcripts\JOHNSON&JOHNSON (JNJ)\FY2023.txt,60692,,2026-04-13T00:56:02.062921+00:00
JOHNSON&JOHNSON (JNJ),2024,JOHNSON&JOHNSON (JNJ) FY24 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2025/01/22/johnson-johnson-jnj-q4-2024-earnings-call-transcri/,ok,data\raw\earnings\motley_fool_transcripts\JOHNSON&JOHNSON (JNJ)\FY2024.txt,65359,,2026-04-13T00:56:39.836774+00:00
JOHNSON&JOHNSON (JNJ),2025,JOHNSON&JOHNSON (JNJ) FY25 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2025/07/16/johnson-johnson-q2-2025-earnings-call-transcript/,ok,data\raw\earnings\motley_fool_transcripts\JOHNSON&JOHNSON (JNJ)\FY2025.txt,36029,,2026-04-13T00:57:17.058924+00:00
UNITEDHEALTH GROUP (UNH),2020,UNITEDHEALTH GROUP (UNH) FY20 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2021/01/20/unitedhealth-group-unh-q4-2020-earnings-call-trans/,ok,data\raw\earnings\motley_fool_transcripts\UNITEDHEALTH GROUP (UNH)\FY2020.txt,55233,,2026-04-13T00:57:41.099167+00:00
UNITEDHEALTH GROUP (UNH),2021,UNITEDHEALTH GROUP (UNH) FY21 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2022/01/19/unitedhealth-group-unh-q4-2021-earnings-call-trans/,ok,data\raw\earnings\motley_fool_transcripts\UNITEDHEALTH GROUP (UNH)\FY2021.txt,49017,,2026-04-13T00:58:17.466350+00:00
UNITEDHEALTH GROUP (UNH),2022,UNITEDHEALTH GROUP (UNH) FY22 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2023/01/13/unitedhealth-group-unh-q4-2022-earnings-call-trans/,ok,data\raw\earnings\motley_fool_transcripts\UNITEDHEALTH GROUP (UNH)\FY2022.txt,59528,,2026-04-13T00:58:57.576330+00:00
UNITEDHEALTH GROUP (UNH),2023,UNITEDHEALTH GROUP (UNH) FY23 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2024/01/12/unitedhealth-group-unh-q4-2023-earnings-call-trans/,ok,data\raw\earnings\motley_fool_transcripts\UNITEDHEALTH GROUP (UNH)\FY2023.txt,59976,,2026-04-13T00:59:36.009860+00:00
UNITEDHEALTH GROUP (UNH),2024,UNITEDHEALTH GROUP (UNH) FY24 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2025/01/16/unitedhealth-group-unh-q4-2024-earnings-call-trans/,ok,data\raw\earnings\motley_fool_transcripts\UNITEDHEALTH GROUP (UNH)\FY2024.txt,61968,,2026-04-13T01:00:14.160993+00:00
UNITEDHEALTH GROUP (UNH),2025,UNITEDHEALTH GROUP (UNH) FY25 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2025/08/06/unitedhealth-unh-q2-2025-earnings-transcript/,ok,data\raw\earnings\motley_fool_transcripts\UNITEDHEALTH GROUP (UNH)\FY2025.txt,81634,,2026-04-13T01:00:50.904915+00:00
UNITED AIRLINES (UAL),2020,UNITED AIRLINES (UAL) FY20 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2021/07/21/united-airlines-holdings-inc-ual-q2-2021-earnings/,ok,data\raw\earnings\motley_fool_transcripts\UNITED AIRLINES (UAL)\FY2020.txt,68507,,2026-04-13T01:01:31.896829+00:00
UNITED AIRLINES (UAL),2021,UNITED AIRLINES (UAL) FY21 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2021/07/21/united-airlines-holdings-inc-ual-q2-2021-earnings/,ok,data\raw\earnings\motley_fool_transcripts\UNITED AIRLINES (UAL)\FY2021.txt,68507,,2026-04-13T01:02:19.728795+00:00
UNITED AIRLINES (UAL),2022,UNITED AIRLINES (UAL) FY22 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2021/07/21/united-airlines-holdings-inc-ual-q2-2021-earnings/,ok,data\raw\earnings\motley_fool_transcripts\UNITED AIRLINES (UAL)\FY2022.txt,68507,,2026-04-13T01:02:55.068514+00:00
